Designator,Mid X,Mid Y,Rotation,Layer
C101,36.703,-72.39,270.0,bottom
C102,32.766,-83.312,180.0,bottom
C103,20.828,-79.756,90.0,bottom
C104,20.828,-71.628,270.0,bottom
C105,24.13,-67.691,0.0,bottom
C106,41.529,-78.232,135.0,bottom
C107,41.148,-73.914,225.0,bottom
C108,28.702,-67.691,0.0,bottom
C109,31.115,-61.722,0.0,bottom
D101,59.309,-37.0585,270.0,bottom
D102,78.359,-34.5185,270.0,bottom
D103,97.4035,-32.004,270.0,bottom
D104,116.459,-37.084,270.0,bottom
D105,135.5035,-42.1385,270.0,bottom
D106,154.559,-42.1385,270.0,bottom
D107,59.309,-56.1085,270.0,bottom
D108,78.359,-53.5685,270.0,bottom
D109,97.4035,-51.074,270.0,bottom
D110,116.4535,-56.027,270.0,bottom
D111,135.509,-61.1125,270.0,bottom
D112,154.559,-61.234,270.0,bottom
D113,59.3035,-75.204,270.0,bottom
D114,78.3535,-72.664,270.0,bottom
D115,97.4035,-70.124,270.0,bottom
D116,116.4535,-75.204,270.0,bottom
D117,135.5035,-80.284,270.0,bottom
D118,154.5535,-80.284,270.0,bottom
D119,36.56325,-95.965005,240.0,bottom
D120,66.929,-100.6095,270.0,bottom
D121,85.9735,-98.064,270.0,bottom
D122,20.828,-90.043,180.0,bottom
D123,20.828,-87.249,180.0,bottom
J101,27.94,-55.753,180.0,bottom
R101,41.783,-69.342,0.0,bottom
R102,23.686,-83.312,0.0,bottom
R103,36.068,-58.6618,270.0,bottom
R104,34.29,-58.6618,270.0,bottom
R105,26.67,-62.547,270.0,bottom
R106,28.321,-62.547,270.0,bottom
R107,24.0915,-90.043,0.0,bottom
R108,24.0915,-87.249,0.0,bottom
S101,40.64,-64.389,270.0,bottom
SW101,51.308,-41.402,0.0,top
SW102,70.358,-38.862,0.0,top
SW103,89.408,-33.782,0.0,top
SW104,108.458,-38.862,0.0,top
SW105,127.508,-46.482,0.0,top
SW106,146.558,-46.482,0.0,top
SW107,51.308,-60.452,0.0,top
SW108,70.358,-57.912,0.0,top
SW109,89.408,-52.832,0.0,top
SW110,108.458,-57.912,0.0,top
SW111,127.508,-65.532,0.0,top
SW112,146.558,-65.532,0.0,top
SW113,51.308,-79.502,0.0,top
SW114,70.358,-76.962,0.0,top
SW115,89.408,-71.882,0.0,top
SW116,108.458,-76.962,0.0,top
SW117,127.508,-84.582,0.0,top
SW118,146.558,-84.582,0.0,top
SW119,32.258,-104.775,300.0,top
SW120,58.928,-104.648,0.0,top
SW121,77.978,-102.108,0.0,top
U101,28.448,-75.654,180.0,bottom
Y101,39.497,-75.946,45.0,bottom
