Designator,Mid X,Mid Y,Rotation,Layer
C101,152.908,-74.93,270.0,bottom
C102,149.098,-85.598,180.0,bottom
C103,137.16,-82.042,90.0,bottom
C104,137.16,-74.422,270.0,bottom
C105,146.812,-69.342,90.0,bottom
C106,157.607,-80.645,135.0,bottom
C107,157.226,-76.454,225.0,bottom
C108,145.034,-69.342,90.0,bottom
C109,150.495,-62.738,0.0,bottom
D101,37.338,-41.402,0.0,bottom
D102,56.3625,-41.402,0.0,bottom
D103,75.4125,-33.782,0.0,bottom
D104,94.4625,-28.702,0.0,bottom
D105,113.5125,-33.782,0.0,bottom
D106,130.81,-36.322,0.0,bottom
D107,37.338,-60.452,0.0,bottom
D108,56.388,-60.452,0.0,bottom
D109,75.438,-52.832,0.0,bottom
D110,94.488,-47.752,0.0,bottom
D111,113.538,-52.832,0.0,bottom
D112,129.5145,-55.372,0.0,bottom
D113,37.3125,-79.502,0.0,bottom
D114,56.3625,-79.502,0.0,bottom
D115,75.4125,-71.882,0.0,bottom
D116,94.4625,-66.802,0.0,bottom
D117,113.5125,-71.882,0.0,bottom
D118,129.5145,-74.422,0.0,bottom
D119,105.8925,-97.028,0.0,bottom
D120,124.9425,-99.568,0.0,bottom
D121,138.684,-97.282,300.0,bottom
D122,153.6955,-93.218,0.0,bottom
D123,153.6955,-90.17,0.0,bottom
J101,147.32,-57.078,180.0,bottom
R101,157.734,-70.358,0.0,bottom
R102,139.954,-85.598,0.0,bottom
R103,140.97,-60.198,270.0,bottom
R104,139.192,-60.198,270.0,bottom
R105,146.05,-64.008,270.0,bottom
R106,147.637,-64.008,270.0,bottom
R107,150.114,-93.218,180.0,bottom
R108,150.114,-90.17,180.0,bottom
S101,156.561,-65.532,270.0,bottom
SW101,28.702,-47.752,0.0,top
SW102,47.752,-47.752,0.0,top
SW103,66.802,-40.132,0.0,top
SW104,85.852,-35.052,0.0,top
SW105,104.902,-40.132,0.0,top
SW106,123.952,-42.672,0.0,top
SW107,28.702,-66.802,0.0,top
SW108,47.752,-66.802,0.0,top
SW109,66.802,-59.182,0.0,top
SW110,85.852,-54.102,0.0,top
SW111,104.902,-59.182,0.0,top
SW112,123.952,-61.722,0.0,top
SW113,28.702,-85.852,0.0,top
SW114,47.752,-85.852,0.0,top
SW115,66.802,-78.232,0.0,top
SW116,85.852,-73.152,0.0,top
SW117,104.902,-78.232,0.0,top
SW118,123.952,-80.772,0.0,top
SW119,97.282,-103.378,0.0,top
SW120,116.332,-105.918,0.0,top
SW121,142.9512,-106.095799,60.0,top
U101,144.78,-77.978,180.0,bottom
Y101,155.448,-78.486,45.0,bottom
