Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C103, C104",0603,4,0.1uF,
C105,0603,1,4.7uF,
"C106, C107",0603,2,22pF,
C108,0603,1,1uF,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118, D119, D120, D121, D122, D123, D124, D125, D126, D127, D128, D129, D130, D131, D132",0603,32,D,
"D133, D134",0603,2,GREEN,
"H101, H102, H103, H104",MountingHole_2.2mm_M2_Pad_TopBottom,4,MountingHole_Pad,
J101,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Bluefruit LE,
J102,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,JST-PH,
"R101, R102",0603,2,10k,
"R103, R104",0603,2,22,
"R105, R106",0603,2,1k,
S101,SW_Push_1P1T_XKB_TS-1187A,1,reset_sw,
SW101,CherryMX_1.00u_PCB,1,ESC,
SW102,CherryMX_1.00u_PCB,1,1,
SW103,CherryMX_1.00u_PCB,1,2,
SW104,CherryMX_1.00u_PCB,1,3,
SW105,CherryMX_1.00u_PCB,1,4,
SW106,CherryMX_1.00u_PCB,1,5,
SW107,CherryMX_1.00u_PCB,1,C1,
SW108,CherryMX_1.00u_PCB,1,TAB,
SW109,CherryMX_1.00u_PCB,1,Q,
SW110,CherryMX_1.00u_PCB,1,W,
SW111,CherryMX_1.00u_PCB,1,E,
SW112,CherryMX_1.00u_PCB,1,R,
SW113,CherryMX_1.00u_PCB,1,T,
SW114,CherryMX_1.00u_PCB,1,C2,
SW115,CherryMX_1.00u_PCB,1,LSHIFT,
SW116,CherryMX_1.00u_PCB,1,A,
SW117,CherryMX_1.00u_PCB,1,S,
SW118,CherryMX_1.00u_PCB,1,D,
SW119,CherryMX_1.00u_PCB,1,F,
SW120,CherryMX_1.00u_PCB,1,G,
SW121,CherryMX_1.00u_PCB,1,C3,
SW122,CherryMX_1.00u_PCB,1,LCTRL,
SW123,CherryMX_1.00u_PCB,1,Z,
SW124,CherryMX_1.00u_PCB,1,X,
SW125,CherryMX_1.00u_PCB,1,C,
SW126,CherryMX_1.00u_PCB,1,V,
SW127,CherryMX_1.00u_PCB,1,B,
SW128,CherryMX_1.00u_PCB,1,C4,
SW129,CherryMX_1.00u_PCB,1,SUPER,
SW130,CherryMX_1.00u_PCB,1,M1,
SW131,CherryMX_1.00u_PCB,1,M2,
SW132,CherryMX_1.00u_PCB,1,SPACE,
U101,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4,
Y101,Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,16 MHz,
