Designator,Mid X,Mid Y,Rotation,Layer
C101,122.809,-101.6,270.0,bottom
C102,118.364,-112.014,180.0,bottom
C103,106.426,-107.442,90.0,bottom
C104,106.426,-99.949,270.0,bottom
C105,110.236,-96.52,0.0,bottom
C106,129.413,-106.68,135.0,bottom
C107,129.794,-102.743,225.0,bottom
C108,115.824,-96.52,180.0,bottom
D101,47.625,-44.577,270.0,bottom
D102,66.6695,-44.597,270.0,bottom
D103,85.7195,-34.437,270.0,bottom
D104,104.795,-29.357,270.0,bottom
D105,123.8195,-34.437,270.0,bottom
D106,142.8695,-36.977,270.0,bottom
D107,161.9195,-39.517,270.0,bottom
D108,47.645,-63.647,270.0,bottom
D109,66.6695,-63.647,270.0,bottom
D110,85.7195,-53.487,270.0,bottom
D111,104.7695,-48.407,270.0,bottom
D112,123.8195,-53.487,270.0,bottom
D113,142.875,-56.007,270.0,bottom
D114,161.925,-58.547,270.0,bottom
D115,47.6195,-82.697,270.0,bottom
D116,64.8716,-88.4428,180.0,bottom
D117,85.7195,-72.537,270.0,bottom
D118,104.795,-67.457,270.0,bottom
D119,123.8195,-72.537,270.0,bottom
D120,142.8695,-75.077,270.0,bottom
D121,161.925,-77.597,270.0,bottom
D122,47.645,-101.747,270.0,bottom
D123,66.675,-101.727,270.0,bottom
D124,85.725,-91.567,270.0,bottom
D125,104.775,-86.487,270.0,bottom
D126,127.107,-91.039,0.0,bottom
D127,142.875,-94.107,270.0,bottom
D128,161.925,-96.647,270.0,bottom
D129,108.946,-122.408,0.0,bottom
D130,128.397,-123.825,5.0,bottom
D131,136.652,-124.968,190.0,bottom
D132,155.702,-128.651,195.0,bottom
D133,103.0478,-78.613,180.0,bottom
D134,103.0478,-80.518,180.0,bottom
J101,60.579,-77.978,270.0,bottom
J102,119.507,-84.709,180.0,bottom
R101,136.144,-107.188,270.0,bottom
R102,109.22,-112.014,0.0,bottom
R103,120.396,-93.028,270.0,bottom
R104,118.618,-93.028,270.0,bottom
R105,106.7308,-78.613,0.0,bottom
R106,106.7308,-80.518,0.0,bottom
S101,141.224,-107.95,180.0,bottom
SW101,53.975,-50.165,0.0,top
SW102,73.025,-50.165,0.0,top
SW103,92.075,-40.005,0.0,top
SW104,111.125,-34.925,0.0,top
SW105,130.1496,-40.005,0.0,top
SW106,149.225,-42.545,0.0,top
SW107,168.275,-45.085,0.0,top
SW108,53.975,-69.215,0.0,top
SW109,73.025,-69.215,0.0,top
SW110,92.075,-59.055,0.0,top
SW111,111.125,-53.975,0.0,top
SW112,130.175,-59.055,0.0,top
SW113,149.225,-61.595,0.0,top
SW114,168.275,-64.135,0.0,top
SW115,53.975,-88.265,0.0,top
SW116,73.025,-88.265,0.0,top
SW117,92.075,-78.105,0.0,top
SW118,111.125,-73.025,0.0,top
SW119,130.175,-78.105,0.0,top
SW120,149.225,-80.645,0.0,top
SW121,168.275,-83.185,0.0,top
SW122,53.975,-107.315,0.0,top
SW123,73.025,-107.315,0.0,top
SW124,92.075,-97.155,0.0,top
SW125,111.125,-92.075,0.0,top
SW126,130.175,-97.155,0.0,top
SW127,149.225,-99.695,0.0,top
SW128,168.275,-102.235,0.0,top
SW129,103.505,-116.205,0.0,top
SW130,123.444,-117.094,355.0,top
SW131,143.129,-119.767867,350.0,top
SW132,162.56,-124.079,345.0,top
U101,114.3,-104.267,180.0,bottom
Y101,127.381,-104.267,45.0,bottom
