Designator,Mid X,Mid Y,Rotation,Layer
C101,102.87,-99.568,180.0,bottom
C102,97.663,-111.125,180.0,bottom
C103,86.233,-106.934,270.0,bottom
C104,97.803,-95.377,0.0,bottom
C105,89.1032,-95.5548,180.0,bottom
C106,92.923992,-119.974992,225.0,bottom
C107,97.409,-119.253,315.0,bottom
C108,102.108,-103.505,90.0,bottom
D101,54.102,-37.0585,270.0,bottom
D102,73.1465,-34.564,270.0,bottom
D103,92.222,-29.484,270.0,bottom
D104,111.2465,-34.564,270.0,bottom
D105,130.2965,-44.597,270.0,bottom
D106,149.3465,-44.724,270.0,bottom
D107,35.0465,-39.517,270.0,bottom
D108,54.102,-56.134,270.0,bottom
D109,73.172,-53.614,270.0,bottom
D110,92.222,-48.534,270.0,bottom
D111,111.272,-53.614,270.0,bottom
D112,130.322,-63.774,270.0,bottom
D113,151.384,-61.976,180.0,bottom
D114,35.052,-58.674,270.0,bottom
D115,54.122,-75.204,270.0,bottom
D116,73.172,-72.664,270.0,bottom
D117,92.222,-67.584,270.0,bottom
D118,123.444,-74.676,270.0,bottom
D119,130.322,-82.824,270.0,bottom
D120,161.29,-84.836,270.0,bottom
D121,35.0465,-77.744,270.0,bottom
D122,54.0965,-94.254,270.0,bottom
D123,73.152,-91.694,270.0,bottom
D124,92.222,-86.607,270.0,bottom
D125,123.698,-91.694,270.0,bottom
D126,130.322,-101.874,270.0,bottom
D127,149.352,-101.874,270.0,bottom
D128,35.0465,-96.794,270.0,bottom
D129,54.365056,-127.722209,75.0,bottom
D130,73.48246,-124.024672,80.0,bottom
D131,80.408949,-123.127079,85.0,bottom
D132,102.997,-110.236,0.0,bottom
D133,86.0044,-89.1795,90.0,bottom
D134,87.7824,-89.1795,90.0,bottom
J101,152.559,-76.875,90.0,bottom
J103,107.085,-86.711,180.0,bottom
R101,77.978,-106.68,270.0,bottom
R104,86.614,-98.044,90.0,bottom
R105,108.077,-97.536,270.0,bottom
R106,106.045,-97.536,270.0,bottom
R107,86.0044,-85.9028,270.0,bottom
R108,87.7824,-85.9028,270.0,bottom
S101,73.1012,-105.3592,0.0,bottom
SW101,60.325,-42.545,0.0,top
SW102,79.375,-40.005,0.0,top
SW103,98.425,-34.925,0.0,top
SW104,117.475,-40.005,0.0,top
SW105,136.525,-50.165,0.0,top
SW106,155.575,-50.165,0.0,top
SW107,41.275,-45.085,0.0,top
SW108,60.325,-61.595,0.0,top
SW109,79.375,-59.055,0.0,top
SW110,98.425,-53.975,0.0,top
SW111,117.475,-59.055,0.0,top
SW112,136.525,-69.215,0.0,top
SW113,155.575,-69.215,0.0,top
SW114,41.275,-64.135,0.0,top
SW115,60.325,-80.645,0.0,top
SW116,79.375,-78.105,0.0,top
SW117,98.425,-73.025,0.0,top
SW118,117.475,-78.105,0.0,top
SW119,136.525,-88.265,0.0,top
SW120,155.575,-88.265,0.0,top
SW121,41.275,-83.185,0.0,top
SW122,60.325,-99.695,0.0,top
SW123,79.375,-97.155,0.0,top
SW124,98.425,-92.075,0.0,top
SW125,117.475,-97.155,0.0,top
SW126,136.525,-107.315,0.0,top
SW127,155.575,-107.315,0.0,top
SW128,41.275,-102.235,0.0,top
SW129,46.99,-124.079,15.0,top
SW130,66.421,-119.761,10.0,top
SW131,86.106,-117.094,5.0,top
SW132,106.045,-116.205,0.0,top
U101,94.234,-103.251,270.0,bottom
Y101,95.045777,-117.602,135.0,bottom
