Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9",D3_SMD_v2,42,D,
"H1, H11, H13, H15, H17, H5, H9",spacer_m2,7,MountingHole,
"H10, H12, H14, H16, H18, H3, H7",spacer_m2,7,MountingHole_Pad,
"H2, H4, H6, H8",thread_m2,4,MountingHole,
"J1, J3",JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,2,Battery,
"J2, J4",PinSocket_1x05_P2.54mm_Vertical,2,nice_view,
SW1,CherryMX_Hotswap,1,ESC,
SW10,CherryMX_Hotswap,1,O,
SW11,CherryMX_Hotswap,1,P,
SW12,CherryMX_Hotswap,1,BSPC,
SW13,CherryMX_Hotswap,1,CTRL,
SW14,CherryMX_Hotswap,1,A,
SW15,CherryMX_Hotswap,1,S,
SW16,CherryMX_Hotswap,1,D,
SW17,CherryMX_Hotswap,1,F,
SW18,CherryMX_Hotswap,1,G,
"SW19, SW24",CherryMX_Hotswap,2,',
SW2,CherryMX_Hotswap,1,Q,
SW20,CherryMX_Hotswap,1,J,
SW21,CherryMX_Hotswap,1,K,
SW22,CherryMX_Hotswap,1,L,
SW23,CherryMX_Hotswap,1,;,
SW25,CherryMX_Hotswap,1,SHIFT,
SW26,CherryMX_Hotswap,1,Z,
SW27,CherryMX_Hotswap,1,X,
SW28,CherryMX_Hotswap,1,C,
SW29,CherryMX_Hotswap,1,V,
SW3,CherryMX_Hotswap,1,W,
SW30,CherryMX_Hotswap,1,B,
SW31,CherryMX_Hotswap,1,RSFT,
SW32,CherryMX_Hotswap,1,M,
SW33,CherryMX_Hotswap,1,",",
SW34,CherryMX_Hotswap,1,.,
SW35,CherryMX_Hotswap,1,/,
SW36,CherryMX_Hotswap,1,RSHIFT,
SW37,CherryMX_Hotswap,1,FN,
"SW38, SW42",CherryMX_Hotswap,2,SPACE,
SW39,CherryMX_Hotswap,1,ENTER,
SW4,CherryMX_Hotswap,1,E,
SW40,CherryMX_Hotswap,1,META,
SW41,CherryMX_Hotswap,1,LOWER,
"SW43, SW45",SW_PCM12SMTR,2,PCM12SMTR,
"SW44, SW46",Panasonic_EVQPUM_EVQPUD,2,SW_Push,
SW5,CherryMX_Hotswap,1,R,
SW6,CherryMX_Hotswap,1,T,
SW7,CherryMX_Hotswap,1,BSPS,
SW8,CherryMX_Hotswap,1,U,
SW9,CherryMX_Hotswap,1,I,
"TP1, TP4",TestPoint_Pad_D1.5mm,2,RGB,
"TP2, TP5",TestPoint_Pad_D1.5mm,2,VCC,
"TP3, TP6",TestPoint_Pad_D1.5mm,2,GND,
"U1, U2",nice_nano,2,nice_nano,
