Designator,Mid X,Mid Y,Rotation,Layer
D1,65.6,-63.9,90.0,bottom
D10,264.65,-52.85,90.0,bottom
D11,245.65,-57.85,90.0,bottom
D12,226.65,-59.85,90.0,bottom
D13,65.6,-82.95,90.0,bottom
D14,84.65,-82.95,90.0,bottom
D15,103.65,-75.1,90.0,bottom
D16,122.65,-72.05,90.0,bottom
D17,141.6,-76.95,90.0,bottom
D18,160.65,-79.1,90.0,bottom
D19,321.65,-82.9,90.0,bottom
D2,84.7,-63.9,90.0,bottom
D20,302.65,-82.85,90.0,bottom
D21,283.65,-74.85,90.0,bottom
D22,264.7,-71.85,90.0,bottom
D23,245.65,-76.9,90.0,bottom
D24,226.65,-78.85,90.0,bottom
D25,65.6,-101.95,90.0,bottom
D26,84.6,-101.95,90.0,bottom
D27,103.6,-93.95,90.0,bottom
D28,122.65,-91.05,90.0,bottom
D29,141.65,-96.0725,90.0,bottom
D3,103.6275,-56.0,90.0,bottom
D30,160.65,-98.05,90.0,bottom
D31,321.65,-101.9,90.0,bottom
D32,302.7,-101.85,90.0,bottom
D33,283.65,-93.85,90.0,bottom
D34,264.65,-90.85,90.0,bottom
D35,245.65,-95.85,90.0,bottom
D36,226.65,-97.85,90.0,bottom
D37,130.3,-101.8,180.0,bottom
D38,153.5,-106.1,195.0,bottom
D39,175.0,-116.2,210.0,bottom
D4,122.6275,-53.0,90.0,bottom
D40,253.3,-101.9,180.0,bottom
D41,229.8,-103.85,165.0,bottom
D42,207.5,-111.9,150.0,bottom
D5,141.6275,-58.0,90.0,bottom
D6,160.6275,-60.0,90.0,bottom
D7,321.65,-63.9,90.0,bottom
D8,302.65,-63.85,90.0,bottom
D9,283.65,-55.85,90.0,bottom
J1,174.35,-89.45,90.0,top
J2,173.845,-82.975,90.0,top
J3,200.7,-89.45,270.0,top
J4,201.1,-82.975,90.0,top
SW1,58.8835,-57.235,0.0,bottom
SW10,257.8785,-46.235,0.0,bottom
SW11,238.8785,-51.235,0.0,bottom
SW12,219.8785,-53.235,0.0,bottom
SW13,58.8835,-76.235,0.0,bottom
SW14,77.9035,-76.255,0.0,bottom
SW15,96.9035,-68.235,0.0,bottom
SW16,115.9035,-65.235,0.0,bottom
SW17,134.9035,-70.235,0.0,bottom
SW18,153.9035,-72.235,0.0,bottom
SW19,314.8785,-76.235,0.0,bottom
SW2,77.8835,-57.235,0.0,bottom
SW20,295.8785,-76.235,0.0,bottom
SW21,276.8785,-68.235,0.0,bottom
SW22,257.8785,-65.235,0.0,bottom
SW23,238.8785,-70.235,0.0,bottom
SW24,219.8785,-72.235,0.0,bottom
SW25,58.9035,-95.235,0.0,bottom
SW26,77.9035,-95.235,0.0,bottom
SW27,96.9035,-87.235,0.0,bottom
SW28,115.9035,-84.235,0.0,bottom
SW29,134.9035,-89.235,0.0,bottom
SW3,96.8835,-49.235,0.0,bottom
SW30,153.9035,-91.235,0.0,bottom
SW31,314.8785,-95.235,0.0,bottom
SW32,295.8785,-95.235,0.0,bottom
SW33,276.8785,-87.235,0.0,bottom
SW34,257.8785,-84.235,0.0,bottom
SW35,238.8785,-89.235,0.0,bottom
SW36,219.8785,-91.235,0.0,bottom
SW37,125.4035,-108.435,0.0,bottom
SW38,147.610777,-111.720107,345.0,bottom
SW39,168.491765,-119.713881,330.0,bottom
SW4,115.8785,-46.235,0.0,bottom
SW40,248.3785,-108.435,0.0,bottom
SW41,226.213576,-110.654237,15.0,bottom
SW42,206.007218,-118.924779,30.0,bottom
SW43,182.3,-96.95,90.0,top
SW44,181.85,-88.65,270.0,top
SW45,192.7,-96.95,270.0,top
SW46,193.15,-88.65,90.0,top
SW5,134.9035,-51.235,0.0,bottom
SW6,153.9035,-53.235,0.0,bottom
SW7,314.8785,-57.235,0.0,bottom
SW8,295.8785,-57.235,0.0,bottom
SW9,276.8785,-49.235,0.0,bottom
U1,201.1,-64.75,270.0,bottom
U2,173.85,-64.75,270.0,bottom
