Designator,Footprint,Quantity,Value,LCSC Part #
C101,0603,1,0.1uF,
"C102, C103, C104",0603,3,4.7uF,
D101,0603,1,RED,
D102,0603,1,GREEN,
"H101, H102",MountingHole_2.2mm_M2_Pad,2,MountingHole_Pad,
J101,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x04_MountingPin,
J102,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_2.0,
J103,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,Battery_Conn,
"R101, R102, R105",0603,3,5.1k,
"R103, R104",0603,2,470,
SW101,SW_PCM13SMTR,1,PCM13SMTR,
U101,SOT-23-5,1,MCP73831-2-OT,
