Designator,Mid X,Mid Y,Rotation,Layer
C101,29.845,-35.306,180.0,bottom
C102,37.465,-35.306,180.0,bottom
C103,74.93,-42.672,0.0,bottom
C104,75.057,-35.814,0.0,bottom
D101,45.0825,-40.259,180.0,top
D102,45.085,-42.164,0.0,top
J101,33.909,-41.116,0.0,top
J102,33.655,-29.076,180.0,bottom
J103,53.34,-39.37,180.0,top
R101,26.924,-32.131,270.0,bottom
R102,40.386,-32.131,270.0,bottom
R103,70.866,-35.814,180.0,bottom
R104,70.866,-37.846,180.0,bottom
R105,71.628,-40.64,90.0,bottom
SW101,98.298,-46.99,90.0,top
U101,74.803,-39.116,90.0,bottom
