Designator,Mid X,Mid Y,Rotation,Layer
C101,82.55,-36.83,180.0,bottom
C102,88.9,-36.83,180.0,bottom
C103,56.5536,-37.338,180.0,bottom
C104,56.4266,-44.069,180.0,bottom
D101,75.3001,-41.7957,0.0,top
D102,75.1801,-43.5737,180.0,top
J101,85.598,-42.3926,0.0,top
J102,85.725,-30.353,180.0,bottom
J103,67.326,-40.696,180.0,top
R101,79.248,-32.385,270.0,bottom
R102,92.202,-32.385,270.0,bottom
R103,60.6176,-41.91,0.0,bottom
R104,60.6176,-44.069,0.0,bottom
R105,59.8556,-39.243,270.0,bottom
SW101,21.098,-48.26,270.0,top
U101,56.5931,-40.64,270.0,bottom
